,, Energy, RxCoord,,X1,,,Y1,,,Z1
,1,0.00000,0.00000,2.49849,1.37280,0.00000
,2,-0.00001,0.04874,2.50030,1.37282,-0.00000
,3,-0.00004,0.09746,2.50215,1.37280,-0.00000
,4,-0.00007,0.14618,2.50403,1.37273,-0.00000
,5,-0.00012,0.19490,2.50594,1.37259,-0.00000
,6,-0.00016,0.24362,2.50787,1.37240,-0.00000
,7,-0.00020,0.29234,2.50984,1.37215,-0.00000
,8,-0.00023,0.34105,2.51187,1.37188,-0.00000
,9,-0.00024,0.38970,2.51408,1.37168,-0.00000
,,,X2,,,Y2,,,Z2,,,X3,,,Y3
,1,3.70996,0.68224,0.00000,3.69250,-0.70711
,2,3.71189,0.68303,-0.00000,3.69354,-0.70546
,3,3.71384,0.68384,-0.00000,3.69457,-0.70382
,4,3.71586,0.68470,-0.00000,3.69553,-0.70221
,5,3.71796,0.68562,-0.00000,3.69641,-0.70063
,6,3.72015,0.68658,-0.00000,3.69717,-0.69911
,7,3.72245,0.68756,-0.00000,3.69777,-0.69765
,8,3.72483,0.68853,-0.00000,3.69820,-0.69628
,9,3.72731,0.68937,-0.00000,3.69843,-0.69510
,,,Z3,,,X4,,,Y4,,,Z4,,,X5
,1,0.00000,2.46891,-1.40259,0.00000,-2.46891
,2,-0.00000,2.46676,-1.40177,0.00000,-2.47106
,3,-0.00000,2.46465,-1.40093,0.00000,-2.47321
,4,0.00000,2.46260,-1.40003,0.00000,-2.47532
,5,0.00000,2.46062,-1.39904,0.00000,-2.47738
,6,0.00000,2.45873,-1.39794,0.00000,-2.47936
,7,0.00000,2.45692,-1.39672,0.00000,-2.48129
,8,0.00000,2.45516,-1.39538,0.00000,-2.48317
,9,0.00000,2.45337,-1.39394,0.00000,-2.48505
,,,Y5,,,Z5,,,X6,,,Y6,,,Z6
,1,-1.40259,-0.00000,-3.69250,-0.70711,-0.00000
,2,-1.40343,-0.00000,-3.69148,-0.70879,-0.00000
,3,-1.40432,-0.00000,-3.69051,-0.71047,-0.00000
